valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.203,2018,0.0769,['Juice WRLD'],0.6709999999999999,165820,0.529,1,4VXIryQMWpIdGgYR4TrjT1,0.000335,0,0.0856,-7.226,1,ALL GIRLS ARE THE SAME,87,2018-12-10,0.307,161.989
0.218,2018,0.349,['Juice WRLD'],0.511,239836,0.5660000000000001,1,285pBltuF7vW8TeWk8hdRR,0.0,6,0.34,-7.23,0,LUCID DREAMS,89,2018-12-10,0.2,83.90299999999998
0.284,2018,0.544,['Joji'],0.515,209274,0.479,1,0rKtyWc8bvkriBthvHKY8d,0.00598,3,0.191,-7.457999999999997,1,SLOW DANCING IN THE DARK,85,2018-10-26,0.0261,88.964
0.7070000000000001,2018,0.369,['Morgan Wallen'],0.614,234347,0.68,0,6foY66mWZN0pSRjZ408c00,1.84e-06,6,0.115,-4.58,1,WHISKEY GLASSES,81,2018-04-27,0.0289,149.959
0.12,2018,0.934,"['Billie Eilish', 'Khalid']",0.351,200186,0.296,0,0u2P5u6lvoDfwTYjAADbn4,0.0,4,0.095,-10.109,0,LOVELY (WITH KHALID),89,2018-04-19,0.0333,115.284
0.489,2018,0.657,['Morgan Wallen'],0.631,205453,0.591,0,5MwynWK9s4hlyKHqhkNn4A,0.0,7,0.11,-5.785,1,CHASIN' YOU,80,2018-04-27,0.0277,97.074
0.382,2018,0.6759999999999999,['Luke Combs'],0.551,193200,0.402,0,2rxQMGVafnNaRaXlRMWPde,0.0,11,0.0928,-7.431,1,BEAUTIFUL CRAZY,81,2018-06-01,0.0262,103.313
0.473,2018,0.258,['XXXTENTACION'],0.74,166606,0.613,1,3ee8Jmje8o58CHK66QrVC2,0.00372,8,0.123,-4.88,1,SAD!,86,2018-03-16,0.145,75.023
0.913,2018,0.556,"['Post Malone', 'Swae Lee']",0.76,158040,0.479,0,3KkXRkHbMCARz0aVfEt68P,0.0,2,0.0703,-5.574,1,SUNFLOWER - SPIDER-MAN: INTO THE SPIDER-VERSE,85,2018-12-14,0.0466,89.911
0.389,2018,0.0852,"['Lil Baby', 'Gunna']",0.897,145543,0.662,1,78QR3Wp35dqAhFEc2qAGjE,0.0,1,0.534,-6.903,0,DRIP TOO HARD (LIL BABY & GUNNA),82,2018-10-05,0.292,112.511
0.845,2018,0.186,['Juice WRLD'],0.736,169999,0.67,1,5wujBwqG7INdStqGd4tRMX,0.0,10,0.114,-6.702000000000001,1,ARMED AND DANGEROUS,81,2018-12-10,0.311,130.032
0.129,2018,0.124,"['Post Malone', '21 Savage']",0.585,218147,0.52,1,0e7ipj03S05BNilyu5bRzt,7.01e-05,5,0.131,-6.136,0,ROCKSTAR (FEAT. 21 SAVAGE),86,2018-04-27,0.0712,159.80100000000004
0.638,2018,0.368,"['Metro Boomin', 'Gunna']",0.901,203267,0.464,1,1fewSx2d5KIZ04wsooEBOz,1.7100000000000002e-05,5,0.238,-9.789,0,SPACE CADET (FEAT. GUNNA),83,2018-11-06,0.0645,109.004
0.237,2018,0.0414,['Juice WRLD'],0.665,175755,0.6509999999999999,1,3oDkdAySo1VQQG0ptV7uwa,0.0,1,0.0896,-5.515,1,LEAN WIT ME,81,2018-12-10,0.156,163.935
0.711,2018,0.556,['XXXTENTACION'],0.921,135090,0.537,1,0JP9xo3adEtGSdUEISiszL,0.00404,9,0.102,-5.723,0,MOONLIGHT,85,2018-03-16,0.0804,128.009
0.74,2018,0.145,['YNW Melly'],0.759,268434,0.73,1,7eBqSVxrzQZtK2mmgRG6lC,3.06e-06,0,0.11,-7.985,0,MURDER ON MY MIND,82,2018-08-03,0.0516,115.007
0.236,2018,0.123,['Trevor Daniel'],0.785,159382,0.431,0,4TnjEaWOeW0eKTKIEvJyCa,0.0,10,0.0887,-8.756,0,FALLING,86,2018-10-05,0.0364,127.085
0.273,2018,0.0175,"['Lil Peep', 'XXXTENTACION']",0.669,196400,0.574,1,4jvjzW7Hm0yK4LvvE0Paz9,0.00294,4,0.146,-6.442,0,FALLING DOWN - BONUS TRACK,84,2018-11-09,0.0286,120.013
0.237,2018,0.113,['girl in red'],0.5660000000000001,184154,0.366,0,1BYZxKSf0aTxp8ZFoeyM3d,0.181,7,0.155,-12.808,1,WE FELL IN LOVE IN OCTOBER,83,2018-11-21,0.028,129.959
0.544,2018,0.259,"['Meek Mill', 'Drake']",0.889,180522,0.496,1,2IRZnDFmlqMuOrYOLnZZyc,0.0,4,0.252,-6.365,0,GOING BAD (FEAT. DRAKE),82,2018-11-30,0.0905,86.00299999999999
0.52,2018,0.883,['XXXTENTACION'],0.669,121887,0.308,0,7AFASza1mXqntmGtbxXprO,0.0,11,0.0984,-10.068,1,CHANGES,85,2018-03-16,0.029,64.934
0.381,2018,0.115,['Juice WRLD'],0.594,191840,0.7979999999999999,1,1Knctxx9vGZxpZfF66BIEa,0.0,4,0.143,-5.244,1,LEGENDS,81,2018-06-22,0.0844,142.049
0.341,2018,0.331,['Post Malone'],0.68,231267,0.578,1,7dt6x5M1jzdTEt8oCbisTK,0.0,10,0.135,-5.803999999999999,1,BETTER NOW,84,2018-04-27,0.04,145.03799999999995
0.8029999999999999,2018,0.66,"['Social House', 'Lil Yachty']",0.769,164640,0.479,0,2Yer0p7uB2lVBUAtANuuQp,0.0,1,0.0914,-5.339,1,MAGIC IN THE HAMPTONS (FEAT. LIL YACHTY),80,2018-06-08,0.0385,96.051
0.0895,2018,0.72,"['Kina', 'Snøw']",0.498,179080,0.235,0,4ZLzoOkj0MPWrTLvooIuaa,0.0,1,0.144,-16.541,0,GET YOU THE MOON (FEAT. SNØW),85,2018-10-08,0.188,118.917
0.628,2018,0.00163,['grandson'],0.504,214520,0.8909999999999999,0,7clyJIrLkEbXUDwj1tC9zz,0.00199,6,0.148,-5.6320000000000014,0,BLOOD // WATER,76,2018-06-15,0.1369999999999999,153.988
0.6709999999999999,2018,0.191,"['Marshmello', 'Bastille']",0.687,214290,0.792,0,2dpaYNEQHiRxtZbfNsse99,0.0,5,0.1669999999999999,-2.749,1,HAPPIER,85,2018-08-17,0.0452,100.015
0.225,2018,0.6609999999999999,['XXXTENTACION'],0.5920000000000001,110886,0.457,1,2ZRo7axmMPeSVUvDbGkJah,0.000331,9,0.146,-6.081,0,HOPE,83,2018-03-16,0.0603,146.04
0.562,2018,0.0355,"['Lil Baby', 'Drake']",0.963,142273,0.346,1,6vN77lE9LK6HP2DewaN6HZ,0.0,5,0.108,-9.309,0,YES INDEED,79,2018-05-18,0.53,119.957
0.271,2018,0.779,['XXXTENTACION'],0.6990000000000001,160184,0.304,1,4UKCKdYiLN6IMA5ZESUTL7,0.000993,1,0.1369999999999999,-11.192,1,THE REMEDY FOR A BROKEN HEART (WHY AM I SO IN LOVE),83,2018-03-16,0.0993,119.705
0.343,2018,0.68,['Trippie Redd'],0.767,121680,0.5379999999999999,1,4mHgYpuGHu99Mw69E83CP2,0.0,0,0.192,-6.044,0,TAKING A WALK,78,2018-08-10,0.052,81.031
0.434,2018,0.0153,"['A Boogie Wit da Hoodie', '6ix9ine']",0.581,189487,0.662,1,1wJRveJZLSb1rjhnUHQiv6,0.0,9,0.111,-5.239,1,SWERVIN (FEAT. 6IX9INE),81,2018-12-21,0.303,93.023
0.502,2018,0.0381,"['Juice WRLD', 'Lil Uzi Vert']",0.742,258475,0.579,1,1a7WZZZH7LzyvorhpOJFTe,0.0,0,0.0952,-5.024,1,WASTED (FEAT. LIL UZI VERT),78,2018-12-10,0.202,144.994
0.471,2018,0.224,['Brent Faiyaz'],0.764,158421,0.394,1,0oufSLnKQDoBFX5mgkDCgR,8.71e-05,8,0.119,-8.559,1,TRUST,80,2018-10-19,0.154,92.011
0.233,2018,0.0802,['Juice WRLD'],0.7759999999999999,186945,0.736,1,1fCeXjoRExPP2qwSBh2aST,0.0,7,0.159,-4.612,1,BLACK & WHITE,79,2018-12-10,0.247,147.946
0.419,2018,0.535,['Lauv'],0.752,197437,0.505,0,2P91MQbaiQOfbiz9VqhqKQ,2.55e-06,9,0.104,-7.621,1,I LIKE ME BETTER,84,2018-05-31,0.253,91.97
0.7,2018,0.0292,['Luke Combs'],0.5329999999999999,183160,0.907,0,698eQRku24PIYPQPHItKlA,0.0,11,0.386,-3.793,1,SHE GOT THE BEST OF ME,77,2018-06-01,0.0406,150.99
0.6809999999999999,2018,0.193,['Panic! At The Disco'],0.579,190947,0.904,0,1rqqCSm0Qe4I9rUvWncaom,0.0,5,0.064,-2.729,1,HIGH HOPES,84,2018-06-22,0.0618,82.014
0.62,2018,0.0102,['MGMT'],0.705,299960,0.7120000000000001,0,2Y0iGXY6m6immVb2ktbseM,0.000855,6,0.1,-6.1560000000000015,1,LITTLE DARK AGE,81,2018-02-09,0.0385,97.512
0.204,2018,0.619,['Joji'],0.672,174358,0.588,1,1VGzxJnVQND7Cg5H5wGj14,0.241,1,0.0992,-9.573,1,YEAH RIGHT,81,2018-10-26,0.133,169.033
0.357,2018,0.0332,['Drake'],0.754,198973,0.449,1,6DCZcSspjsKoFjzjrWoCdn,8.290000000000001e-05,7,0.552,-9.211,1,GOD'S PLAN,83,2018-06-29,0.109,77.169
0.274,2018,0.0395,['21 Savage'],0.8370000000000001,288624,0.636,1,2t8yVaLvJ0RenpXUIAC52d,0.00125,1,0.342,-7.643,1,A LOT,79,2018-12-21,0.086,145.972
0.568,2018,0.0079,"['Trippie Redd', 'Juice WRLD']",0.825,175954,0.5720000000000001,1,75lcPkAkUsKWHGBlGM476R,0.0,6,0.113,-6.067,0,1400 / 999 FREESTYLE,78,2018-11-09,0.0864,141.991
0.177,2018,0.3670000000000001,['Mac Miller'],0.52,345133,0.5379999999999999,1,5bJ1DrEM4hNCafcDd1oxHx,0.00187,1,0.119,-8.109,1,SELF CARE,79,2018-08-03,0.206,141.894
0.47,2018,0.188,"['Playboi Carti', 'Lil Uzi Vert']",0.6729999999999999,153800,0.649,1,2BJSMvOGABRxokHKB0OI8i,0.0,1,0.122,-8.433,0,SHOOTA (FEAT. LIL UZI VERT),77,2018-05-11,0.196,153.075
0.386,2018,0.356,['Dan + Shay'],0.616,213387,0.438,0,3GJ4hzg4lrGwU51Y3VARbF,0.0,1,0.24,-5.968,1,SPEECHLESS,76,2018-06-22,0.0298,135.929
0.615,2018,0.111,['Ski Mask The Slump God'],0.935,145627,0.552,1,1ThmUihH9dF8EV08ku5AXN,0.0,10,0.0952,-9.373,0,FAUCET FAILURE,78,2018-11-30,0.335,99.993
0.459,2018,0.546,"['Post Malone', 'Ty Dolla $ign']",0.75,221440,0.56,1,3swc6WTsr7rl9DqQKQA55C,0.0,8,0.111,-8.094,1,PSYCHO (FEAT. TY DOLLA $IGN),81,2018-04-27,0.105,140.06
0.493,2018,0.462,['Lil Mosey'],0.6990000000000001,165000,0.5579999999999999,1,7zLYKWcXnYeHHWidalz7rj,0.0,11,0.116,-7.622000000000001,1,NOTICED,80,2018-10-19,0.0603,79.992
0.112,2018,0.0765,['Khalid'],0.596,229320,0.552,0,6zeeWid2sgw4lap2jV61PZ,0.334,0,0.104,-10.278,0,BETTER,77,2018-10-18,0.097,97.949
0.4370000000000001,2018,0.171,"['Zedd', 'Maren Morris', 'Grey']",0.753,184732,0.657,0,09IStsImFySgyp0pIQdqAc,0.0,7,0.112,-3.0610000000000004,1,THE MIDDLE,82,2018-01-23,0.0449,107.01
0.504,2018,0.0521,"['Kodak Black', 'Offset', 'Travis Scott']",0.861,228760,0.603,1,0FZ4Dmg8jJJAPJnvBIzD9z,0.0,8,0.0924,-5.787999999999999,0,ZEZE (FEAT. TRAVIS SCOTT & OFFSET),80,2018-12-14,0.176,98.043
0.1369999999999999,2018,0.8,['Alessia Cara'],0.481,227693,0.267,0,4WzhjxvLP95y7AMDy0Atwb,0.0,7,0.249,-9.249,1,OUT OF LOVE,80,2018-11-30,0.0339,117.64
0.65,2018,0.099,"['Cardi B', 'Bad Bunny', 'J Balvin']",0.816,253390,0.726,1,58q2HKrzhC3ozto2nDdN4z,0.0,5,0.3720000000000001,-3.998,0,I LIKE IT,82,2018-04-06,0.129,136.048
0.0,2018,0.394,['High Altitude Samples'],0.0,160003,0.00148,0,129ldjjvnFfA7Ygc8ktYnh,1.0,5,0.111,-31.839,1,SOFT BROWN NOISE,81,2018-11-15,0.0,0.0
0.5329999999999999,2018,0.297,['Halsey'],0.752,201661,0.488,1,5p7ujcrUXASCNwRaWNHR1C,9.11e-06,6,0.0936,-7.05,1,WITHOUT ME,83,2018-10-04,0.0705,136.041
0.175,2018,0.17,['The Weeknd'],0.461,228373,0.593,0,09mEdoA6zrmBPgTEN5qXmN,0.0,1,0.307,-4.954,1,CALL OUT MY NAME,82,2018-03-30,0.0356,134.17
0.483,2018,0.74,['Alec Benjamin'],0.652,169354,0.557,0,2qxmye6gAegTMjLKEBoR3d,0.0,1,0.124,-5.714,0,LET ME DOWN SLOWLY,84,2018-11-16,0.0318,150.07299999999995
0.151,2018,0.0622,"['Juice WRLD', 'Seezyn']",0.715,205800,0.639,0,6rz0dTA0PdhXImFV5EjM0w,0.0,5,0.157,-5.017,0,HIDE (FEAT. SEEZYN),77,2018-12-14,0.0752,149.996
0.218,2018,0.918,['Calum Scott'],0.331,204326,0.235,0,69vToJ9BMbbLlFZo7k7A7B,0.0,10,0.1369999999999999,-7.7,1,YOU ARE THE REASON,83,2018-03-09,0.0299,171.232
0.551,2018,0.0484,"['Future', 'Juice WRLD']",0.6559999999999999,141587,0.542,1,5274I4mUMnYczyeXkGDWZN,0.0,7,0.126,-7.358,1,FINE CHINA,77,2018-10-19,0.3229999999999999,166.111
0.423,2018,0.0165,['Drake'],0.912,238614,0.412,1,0TlLq3lA83rQOYtrqBqSct,0.0126,7,0.104,-8.074,1,NONSTOP,79,2018-06-29,0.123,154.983
0.152,2018,0.0169,['5 Seconds of Summer'],0.596,203418,0.8540000000000001,0,2iUXsYOEPhVqEBwsqP70rE,0.0,7,0.124,-5.114,0,YOUNGBLOOD,82,2018-06-15,0.463,120.274
0.428,2018,0.4320000000000001,['Kali Uchis'],0.675,199506,0.7609999999999999,0,6LOZws7T3jqZz78unPgFF9,0.0,4,0.102,-4.468999999999999,0,DEAD TO ME,78,2018-04-06,0.0466,119.001
0.608,2018,0.607,['Jeremy Zucker'],0.795,181613,0.178,0,18uwL0vNUanqZH0ro2QcOP,0.0,0,0.623,-11.991,1,COMETHRU,82,2018-09-28,0.0574,93.982
0.219,2018,0.00534,['Cardi B'],0.95,183527,0.59,1,2GGMabyHXnJmjY6CXhhB2e,0.0,8,0.11,-6.507999999999999,0,MONEY,78,2018-10-23,0.29,130.003
0.0727,2018,0.588,"['Metro Boomin', '21 Savage']",0.81,208293,0.353,1,0AluA5RNsa4Cx6XRhf2hWZ,0.0,6,0.102,-9.931,0,10 FREAKY GIRLS (WITH 21 SAVAGE),76,2018-11-06,0.31,88.031
0.632,2018,0.113,"['Ski Mask The Slump God', 'Juice WRLD']",0.8079999999999999,166400,0.617,1,74lnM5V6ecvoTPV0fvptx9,0.0,10,0.7340000000000001,-9.32,0,NUKETOWN (FEAT. JUICE WRLD),76,2018-11-30,0.442,149.96200000000005
0.616,2018,0.113,['Arizona Zervas'],0.8220000000000001,223000,0.575,1,6lruHh1jF7ezgbLv72xYmf,0.0,5,0.106,-5.95,1,FML,79,2018-06-03,0.0934,100.087
0.0897,2018,0.443,"['Summer Walker', 'Drake']",0.6559999999999999,222374,0.4320000000000001,1,14SaZBTjxlorHJQxXh01Hu,0.0,6,0.132,-9.481,0,GIRLS NEED LOVE (WITH DRAKE) - REMIX,78,2018-10-19,0.217,97.022
0.261,2018,0.194,['Sheck Wes'],0.7290000000000001,183907,0.625,1,1xzBco0xcoJEDXktl7Jxrr,0.00986,4,0.248,-5.266,1,MO BAMBA,78,2018-10-05,0.0315,146.034
0.423,2018,0.073,['Aminé'],0.754,121347,0.342,1,5qHirGR7M9tdm6C17DlzSY,0.0,10,0.193,-8.677,0,REEL IT IN,78,2018-08-15,0.0991,128.981
0.381,2018,0.64,['Post Malone'],0.664,227533,0.667,1,32lItqlMi4LBhb4k0BaSaC,1.22e-06,4,0.0753,-5.941,1,CANDY PAINT,77,2018-04-27,0.154,180.06400000000005
0.3229999999999999,2018,0.371,"['Lady Gaga', 'Bradley Cooper']",0.5720000000000001,215733,0.385,0,2VxeLyX666F8uXCJ0dZF8B,0.0,7,0.231,-6.362,1,SHALLOW,85,2018-10-05,0.0308,95.799
0.236,2018,0.8390000000000001,['Calum Scott'],0.682,260285,0.173,0,2BOqDYLOJBiMOXShCV1neZ,3.26e-05,1,0.0983,-8.749,1,DANCING ON MY OWN,82,2018-03-09,0.0314,112.663
0.352,2018,0.0791,['Jameson Rodgers'],0.431,184893,0.831,0,54eUv9Q3D9MZuOGS5PSflp,0.0,8,0.312,-5.1080000000000005,1,SOME GIRLS,74,2018-01-19,0.0474,167.96
0.406,2018,0.143,['Jason Aldean'],0.375,196800,0.574,0,6EGAfJaLUFzhS4zRBIEQ2J,0.0,7,0.11,-5.305,1,YOU MAKE IT EASY,72,2018-04-13,0.0315,132.025
0.334,2018,0.0742,"['RL Grime', '24hrs']",0.536,192000,0.879,1,3OaunNUlXXs5e2PXtNAzzG,0.0,1,0.0847,-3.019,1,UCLA,75,2018-07-27,0.0621,140.137
0.758,2018,0.0891,['Drake'],0.585,210747,0.909,1,3CA9pLiwRIGtUBiMjbZmRw,9.7e-05,8,0.119,-6.474,1,NICE FOR WHAT,78,2018-06-29,0.0707,93.372
0.443,2018,0.6970000000000001,['Dean Lewis'],0.5529999999999999,196373,0.586,1,3EPXxR3ImUwfayaurPi3cm,0.0,11,0.0813,-6.319,1,BE ALRIGHT,83,2018-06-29,0.0362,126.684
0.7929999999999999,2018,0.0813,"['Morgan Wallen', 'Florida Georgia Line']",0.589,197253,0.882,0,3EWMoDIm6lzuR0zQKtuCJX,0.0,6,0.146,-3.039,1,UP DOWN (FEAT. FLORIDA GEORGIA LINE),73,2018-04-27,0.035,129.915
0.757,2018,0.0468,['Morgan Wallen'],0.604,208280,0.879,0,21LRaD9rB3v7p7DDCZsW4y,0.0,4,0.0909,-3.388,1,THE WAY I TALK,73,2018-04-27,0.0322,137.983
0.7070000000000001,2018,0.836,['Jeremy Zucker'],0.773,169973,0.4370000000000001,1,75ls0gurX68lUmMjE7QcsE,2.42e-05,9,0.544,-8.281,1,ALL THE KIDS ARE DEPRESSED,79,2018-05-04,0.0963,103.861
